index,ID,stores,x,y,road_address,place_url
40,1028406499,꽃이피다앤블라썸,126.5546621,33.24292106,제주특별자치도 서귀포시 남성로 136,http://place.map.kakao.com/1028406499
19,19639423,카페서연의집,126.6555806,33.26940685,제주특별자치도 서귀포시 남원읍 위미해안로 86,http://place.map.kakao.com/19639423
14,28741599,미쁜제과,126.1800596,33.26916012,제주특별자치도 서귀포시 대정읍 도원남로 16,http://place.map.kakao.com/28741599
74,27167127,재클린디저트 모슬포점,126.2520008,33.21814982,제주특별자치도 서귀포시 대정읍 최남단해안로 26-1,http://place.map.kakao.com/27167127
11,1983315941,바다다,126.436715,33.23690685,제주특별자치도 서귀포시 대포로 148-15,http://place.map.kakao.com/1983315941
91,25118051,제스토리,126.5149177,33.23609313,제주특별자치도 서귀포시 막숙포로 60,http://place.map.kakao.com/25118051
41,670044535,벙커하우스,126.519224,33.24046292,제주특별자치도 서귀포시 막숙포로41번길 66,http://place.map.kakao.com/670044535
81,2035427536,디저트39 서귀포명동로점,126.5639898,33.247208,제주특별자치도 서귀포시 명동로 20,http://place.map.kakao.com/2035427536
82,1476528259,채점석베이커리 본점,126.5141753,33.24848943,제주특별자치도 서귀포시 서호남로32번길 29,http://place.map.kakao.com/1476528259
36,767876049,비브레이브커피로스터즈,126.5181757,33.25492909,제주특별자치도 서귀포시 서호중앙로 85-13,http://place.map.kakao.com/767876049
67,231488419,서귀피안베이커리,126.9219747,33.4352536,제주특별자치도 서귀포시 성산읍 신양로122번길 17,http://place.map.kakao.com/231488419
25,2003360746,아줄레주,126.8392945,33.36683143,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59,http://place.map.kakao.com/2003360746
87,1595276235,늘예솔 동네한바퀴 디저트카페,126.8655404,33.36287926,제주특별자치도 서귀포시 성산읍 일주동로 5335,http://place.map.kakao.com/1595276235
128,767322313,안녕성산,126.9345365,33.46189538,제주특별자치도 서귀포시 성산읍 일출로 270-1,http://place.map.kakao.com/767322313
105,1207539108,제주i,126.9356377,33.46371901,제주특별자치도 서귀포시 성산읍 일출로288번길 8,http://place.map.kakao.com/1207539108
17,979505096,휴일로,126.366525,33.23220806,제주특별자치도 서귀포시 안덕면 난드르로 49-65,http://place.map.kakao.com/979505096
47,100535814,효은디저트 제주서귀포점,126.3145055,33.2519202,제주특별자치도 서귀포시 안덕면 덕수회관로 14,http://place.map.kakao.com/100535814
34,1688963481,커피스케치,126.313349,33.23335677,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32,http://place.map.kakao.com/1688963481
0,217787831,원앤온리,126.3191925,33.23922235,제주특별자치도 서귀포시 안덕면 산방로 141,http://place.map.kakao.com/217787831
110,1535759932,기억해제주,126.319438,33.28989165,제주특별자치도 서귀포시 안덕면 중산간서로 1907,http://place.map.kakao.com/1535759932
20,1971639400,뷰스트,126.3034811,33.2277786,제주특별자치도 서귀포시 안덕면 형제해안로 30,http://place.map.kakao.com/1971639400
78,791617298,더리트리브,126.3385571,33.24799814,제주특별자치도 서귀포시 안덕면 화순로 67,http://place.map.kakao.com/791617298
84,1681095122,시스터필드베이커리,126.5073524,33.24894587,제주특별자치도 서귀포시 월드컵로 8,http://place.map.kakao.com/1681095122
130,1584893752,테디제주 바이올레,126.5639944,33.24780489,제주특별자치도 서귀포시 이중섭로 2,http://place.map.kakao.com/1584893752
99,729619128,만달,126.4342363,33.2562769,제주특별자치도 서귀포시 일주서로 710,http://place.map.kakao.com/729619128
97,2095612103,선물가게바나나,126.4171165,33.25803173,제주특별자치도 서귀포시 일주서로 875,http://place.map.kakao.com/2095612103
2,1378746048,더클리프,126.4149199,33.24432939,제주특별자치도 서귀포시 중문관광로 154-17,http://place.map.kakao.com/1378746048
117,1803142031,선물고팡 중문점,126.4149386,33.24441603,제주특별자치도 서귀포시 중문관광로 154-17,http://place.map.kakao.com/1803142031
37,367412374,베메로,126.4108268,33.24985684,제주특별자치도 서귀포시 중문관광로72번길 29-5,http://place.map.kakao.com/367412374
80,139413720,바다바라,126.412978,33.24589627,제주특별자치도 서귀포시 중문관광로72번길 29-51,http://place.map.kakao.com/139413720
131,1325929397,레인보우제주,126.5636123,33.24868715,제주특별자치도 서귀포시 중앙로42번길 19,http://place.map.kakao.com/1325929397
8,775734317,허니문하우스,126.5787127,33.24415532,제주특별자치도 서귀포시 칠십리로 228-13,http://place.map.kakao.com/775734317
7,25161792,테라로사 서귀포점,126.6187643,33.24947073,제주특별자치도 서귀포시 칠십리로658번길 27-16,http://place.map.kakao.com/25161792
9,21160031,유동커피,126.5638003,33.24452588,제주특별자치도 서귀포시 태평로 406-1,http://place.map.kakao.com/21160031
59,347012105,센트로,126.5675798,33.2466489,제주특별자치도 서귀포시 태평로 449,http://place.map.kakao.com/347012105
12,1176884672,목장카페드르쿰다,126.7703379,33.40945971,제주특별자치도 서귀포시 표선면 번영로 2454,http://place.map.kakao.com/1176884672
79,1011635289,목장카페 밭디,126.7722168,33.40789977,제주특별자치도 서귀포시 표선면 번영로 2486,http://place.map.kakao.com/1011635289
15,1191128222,베케,126.6049215,33.26191692,제주특별자치도 서귀포시 효돈로 54,http://place.map.kakao.com/1191128222
